id,field_legacy_id,blog_name,source_type,source_term,rename_term,ignore_term,person,movie,tv,book,music,stage,web_series,video_game,taxonomy_genre,taxonomy_ew_franchise,taxonomy_franchise,taxonomy_event,taxonomy_freeform,taxonomy_category
38669,insidetv_196496,insidetv,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35627,popstyle_196496,popstyle,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36404,newsbriefs_196496,newsbriefs,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
400,thefamilyroom_196496,thefamilyroom,tag,"Ellen Degeneres",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40849,insidemovies_196496,insidemovies,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37302,musicmix_196496,musicmix,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34782,popwatch_196496,popwatch,tag,"Ellen DeGeneres","Ellen Degeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13271,insidemovies_4224773,insidemovies,tag,"Ellen Degeners","Ellen DeGeneres",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1494,shelflife_539366,shelflife,tag,"Ellen Hopkins",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4103,popwatch_965207,popwatch,tag,"Ellen Page",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36405,newsbriefs_965207,newsbriefs,tag,"Ellen Page",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40850,insidemovies_965207,insidemovies,tag,"Ellen Page",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37303,musicmix_965207,musicmix,tag,"Ellen Page",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,popwatch_194219,popwatch,tag,"Ellen Pompeo",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38670,insidetv_194219,insidetv,tag,"Ellen Pompeo",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4105,popwatch_14995099,popwatch,tag,"Ellie Goulding",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40851,insidemovies_14995099,insidemovies,tag,"Ellie Goulding",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37304,musicmix_14995099,musicmix,tag,"Ellie Goulding",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38671,insidetv_13589181,insidetv,tag,"Ellie Kemper",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
401,thefamilyroom_13589181,thefamilyroom,tag,"Ellie Kemper",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40852,insidemovies_13589181,insidemovies,tag,"Ellie Kemper",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,popwatch_236636242,popwatch,tag,"Elliot Rodger",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8671,newsbriefs_7429704,newsbriefs,tag,"Elliott Reid",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9660,musicmix_335052,musicmix,tag,"Elliott Smith",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9661,musicmix_536385,musicmix,tag,"Elliott Yamin",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36406,newsbriefs_360677,newsbriefs,tag,Elmo,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,thefamilyroom_360677,thefamilyroom,tag,Elmo,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40853,insidemovies_307125,insidemovies,tag,"Elmore Leonard",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,shelflife_307125,shelflife,tag,"Elmore Leonard",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13272,insidemovies_36265310,insidemovies,tag,"Eloise Mumford",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4107,popwatch_1244446,popwatch,tag,"Elon Musk",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,popwatch_8631,popwatch,tag,"Elton John",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38672,insidetv_8631,insidetv,tag,"Elton John",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36407,newsbriefs_8631,newsbriefs,tag,"Elton John",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40854,insidemovies_8631,insidemovies,tag,"Elton John",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37305,musicmix_8631,musicmix,tag,"Elton John",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34049,musicmix_696488,musicmix,tag,Elvira,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4109,popwatch_28373,popwatch,tag,Elvis,"Elvis Presley",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9662,musicmix_118482,musicmix,tag,"Elvis Costello",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4110,popwatch_29310,popwatch,tag,"Elvis Presley",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36408,newsbriefs_29310,newsbriefs,tag,"Elvis Presley",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40855,insidemovies_29310,insidemovies,tag,"Elvis Presley",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,musicmix_29310,musicmix,tag,"Elvis Presley",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,popwatch_923307,popwatch,tag,Elysium,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38673,insidetv_923307,insidetv,tag,Elysium,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35628,popstyle_923307,popstyle,tag,Elysium,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40856,insidemovies_923307,insidemovies,tag,Elysium,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13273,insidemovies_51829421,insidemovies,tag,"Emanuel and the Truth About Fishes",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4112,popwatch_541000,popwatch,tag,Embarrasing,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,shelflife_6073009,shelflife,tag,Emblaze,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9663,musicmix_112499641,musicmix,tag,Emblem3,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1497,shelflife_68468,shelflife,tag,Embrace,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
